Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
17-SEP-2026,STEAMHOUSE,Steamhouse India Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,2574129,98.73,-
17-SEP-2026,SUNSHINE,Sunshine Pictures Limited,MATHISYS QUANTCAP LLP,BUY,160303,376.44,-
17-SEP-2026,SUNSHINE,Sunshine Pictures Limited,ARIHANT CAPITAL MARKETS LIMITED,BUY,475823,373.29,-
17-SEP-2026,SUNSHINE,Sunshine Pictures Limited,HRTI PRIVATE LIMITED,BUY,188289,376.74,-
17-SEP-2026,TEJA,Teja Engineering Ind L,ABUNDANTIA CAPITAL VCC - ABUNDANTIA CAPITAL III,BUY,63600,224.59,-
17-SEP-2026,UCL,Ushanti Colour Chem Ltd,TWIN BULLS CAPITAL,BUY,76000,230.50,-
17-SEP-2026,VINOD,Vinod Texworld Limited,VIKASA INDIA EIF I FUND - SHARE CLASS P,BUY,410400,94.00,-
17-SEP-2026,ABH,ABH Healthcare Limited,NEO APEX SHARE BROKING SERVICES LLP,SELL,115200,38.21,-
17-SEP-2026,ABH,ABH Healthcare Limited,MAHAMMADFARUK HAJIBHAI MIR,SELL,129600,38.20,-
17-SEP-2026,AHCL,Anlon Healthcare Limited,HRTI PRIVATE LIMITED,SELL,3703077,21.21,-
17-SEP-2026,AHCL,Anlon Healthcare Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,3557795,21.26,-
17-SEP-2026,ARCIL,Asset Reconstruc Co (I) L,BNP PARIBAS FINANCIAL MARKETS,SELL,86143,134.22,-
17-SEP-2026,ATALREAL,Atal Realtech Limited,HRTI PRIVATE LIMITED,SELL,857243,15.16,-
17-SEP-2026,ATALREAL,Atal Realtech Limited,JAGID VANITABEN RAJENDRAPRASAD,SELL,4695523,15.36,-
17-SEP-2026,AWHCL,Antony Waste Hdg Cell Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,354907,385.60,-
17-SEP-2026,AWHCL,Antony Waste Hdg Cell Ltd,MICROCURVES TRADING PRIVATE LIMITED,SELL,405649,385.97,-
17-SEP-2026,AWHCL,Antony Waste Hdg Cell Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,232011,385.24,-
17-SEP-2026,AWHCL,Antony Waste Hdg Cell Ltd,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,181593,385.65,-
17-SEP-2026,DUCON,Ducon Infratech Ltd,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,SELL,5142202,1.29,-
17-SEP-2026,DUCON,Ducon Infratech Ltd,NEO APEX SHARE BROKING SERVICES LLP,SELL,3014590,1.33,-
17-SEP-2026,ENTERO,Entero Healthcare Solu L,PRASID UNO FAMILY TRUST,SELL,410000,1692.98,-
17-SEP-2026,FASCINATE,Fascinate Textiles Ltd,NEO APEX SHARE BROKING SERVICES LLP,SELL,129600,45.60,-
17-SEP-2026,GCSL,Gretex Corporate Services,MANSUKH SECURITIES & FINANCE LIMITED,SELL,66682,602.38,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,MATHISYS QUANTCAP LLP,SELL,1093007,241.93,-
17-SEP-2026,GLASSWALL,Glass Wall System (I) Ltd,IRAGE BROKING SERVICES LLP,SELL,872283,240.31,-
